name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,112,label,168.0,1.2799999709999998,250.0,0.939999998,146.0,-1.419999957,162.0,-1.6100000140000001,215.039995128,234.9999995,-207.319993722,-260.820002268,-0.02493113135261708
TYS_104,113,label,0.0,NA,296.0,0.939999998,0.0,NA,198.0,-1.6100000140000001,NA,278.239999408,NA,-318.78000277200005,-0.08206478413765188
TYS_104,114,label,426.0,1.2799999709999998,0.0,NA,0.0,NA,0.0,NA,545.2799876459999,NA,NA,NA,1.2799999709999996
TYS_104,115,sound,330.0,0.7099999790000001,0.0,NA,176.00000000000003,-0.639999986,0.0,NA,234.29999307000003,NA,-112.63999753600001,NA,0.24043477378260872
TYS_104,116,sound,102.0,0.7099999790000001,393.99999999999994,-0.079999998,0.0,NA,0.0,NA,72.41999785800002,-31.519999211999995,NA,NA,0.08245967468951618
TYS_104,117,sound,376.0,0.7099999790000001,0.0,NA,0.0,NA,216.00000000000003,-1.100000024,266.95999210400004,NA,NA,-237.60000518400005,0.04959457249999997
TYS_104,118,sound,264.0,0.7099999790000001,510.0,-0.079999998,278.0,-0.639999986,0.0,NA,187.43999445600002,-40.79999898,-177.919996108,NA,-0.029733840904942934
TYS_104,119,label,200.0,0.7099999790000001,268.0,-0.079999998,266.0,-0.639999986,442.0,-1.100000024,141.99999580000002,-21.439999464,-170.239996276,-486.200010608,-0.4556802810782313
TYS_104,120,label,0.0,NA,620.0,-0.079999998,0.0,NA,186.00000000000003,-1.100000024,NA,-49.59999876,NA,-204.60000446400005,-0.31538461938461543
TYS_104,121,label,296.00000000000006,0.7099999790000001,0.0,NA,453.99999999999994,-0.639999986,246.00000000000003,-1.100000024,210.15999378400008,NA,-290.559993644,-270.60000590400006,-0.35240964434136546
TYS_104,122,label,0.0,NA,250.0,-0.079999998,442.0,-0.639999986,142.0,-1.100000024,NA,-19.9999995,-282.879993812,-156.20000340800001,-0.5504556315587531
TYS_104,123,sound,186.00000000000003,1.2200000290000002,640.0,0.610000014,310.0,0.01,0.0,NA,226.92000539400007,390.40000896000004,3.1,NA,0.5461443788327466
